,award_score,Bronze,Silver,Shortlist,Gold,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,mode,speechiness,tempo,time_signature,valence,audioEffect_HandClaps,audioEffect_Silence,audioEffect_Silence_duration,audioEffect_Speech,contentModeration_adultClassifierValue,durationInSeconds,meanSentiment,n_faces,n_topics,sentiment_Negative_durationratio,Loser,million,new,people,abstract,building,car,electronics,floor,grass,indoor,man,monitor,nintendo,outdoor,person,road,screen,sky,text,tree,wall,at_new,at_people,at_world,"category_Public Health & Safety, Public Awareness Messages",categoryCode_A03,categoryCode_A04,categoryCode_A06,categoryCode_B01,categoryCode_B02,categoryCode_B03,categoryCode_C01,categoryCode_C02,categoryCode_C03,categoryCode_E01,categoryCode_F02,categoryCode_F03,festivalYear_2012.0,festivalYear_2013.0,festivalYear_2015.0,festivalYear_2016.0,festivalYear_2017.0,mediaCode_DIB,mediaCode_DIC,mediaCode_DID,mediaCode_DIE,mediaCode_IA,mediaCode_IB,mediaCode_IC,mediaCode_ID,mediaCode_IE,mediaCode_IF,mediaCode_MOA,mediaCode_MOC,mediaCode_MOF,mediaCode_MOI,mediaDescription_Campaign,mediaDescription_Craft,mediaDescription_Digital & Social,mediaDescription_Direct Marketing: Digital & Social,mediaDescription_Online Video,mediaDescription_Sectors,mediaDescription_Strategy,mediaDescription_Technology,mediaDescription_Use of Direct Marketing,mediaDescription_Web Campaign,mediaDescription_Web Platforms,section_Mobile,Grand Prix
2205,0.0,0.0,0.0,0.0,0.0,0.081,0.233,12.36300374212808,0.475,0.5660000000000001,2.0,0.16699999999999898,1.0,0.0298,165.385,3.0,0.38799999999999896,0.0,1.0,3.555348061489411,1.0,0.81445,4.59511985013459,0.48652909667767597,0.0,4.0,0.0288775510204081,1,0.06186331511861935,0.0,0.0,0.022553769605082263,0.0,0.0,0.08355620193716778,0.03566857293028481,0.0810911656059644,0.2800893068153016,0.0,0.0,0.0,0.06464192463325245,0.05337333309130343,0.0,0.0,0.0,0.09187818561478005,0.11252035344206979,0.12540940641334836,0.02929427842774126,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0
2206,0.0,0.0,0.0,0.0,0.0,0.578,0.514,12.828550550222223,0.136999999999999,0.711,2.0,0.0957,1.0,0.0331,132.311,4.0,0.401,0.0,1.0,4.688591794127164,1.0,0.9721,4.787491742782046,0.360680945626023,1.6094379124341003,6.0,0.0,1,0.0,0.05024251884631821,0.0,0.046372541759836045,0.0,0.029744617565672524,0.05726630967492428,0.024445911802265758,0.0,0.10797906489861195,0.030463935841441404,0.02019131988778716,0.0223154273288462,0.04430316826529067,0.134127015723567,0.026690735902581548,0.06840694211183315,0.0,0.04197992495113412,0.025705753554918432,0.05157056259605286,0.06023162307238355,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
2207,0.0,0.0,0.0,0.0,0.0,0.000616,0.838,13.009622359387073,0.49,0.633,1.0,0.0618,1.0,0.0907,126.015,4.0,0.473,1.0,1.0,4.554928969551344,1.0,0.64154,4.795790545596741,0.617074051977803,1.791759469228055,6.0,0.0,1,0.035813809011936516,0.0,0.0166119596534034,0.022664434718442903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03271978589365421,0.0,0.0,0.0,0.0,0.0,0.015388167745921002,0.0,0.0,0.0,0.012284884602591957,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
2208,0.0,0.0,0.0,0.0,0.0,0.8370000000000001,0.166,10.72834258908784,0.750999999999999,0.14,11.0,0.451,0.0,0.0589,83.92399999999991,5.0,0.0352,1.0,1.0,4.393213824064446,1.0,0.58035,4.672828834461906,0.33469058071608504,1.791759469228055,5.0,0.20188679245283,1,0.0,0.0,0.07618886072991386,0.0,0.0,0.6061526895762173,0.13892920752772978,0.0,0.0,0.10478374458634465,0.11085917239958733,0.08817217935590964,0.0,0.10748036835276722,0.12424165503704986,0.11655406215257347,0.1327652829168246,0.12385999532606473,0.0,0.0,0.0,0.0,0.04878332958180687,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
2209,0.0,0.0,0.0,0.0,0.0,0.000886,0.578,12.685410698175234,0.718,0.759,7.0,0.0713,1.0,0.0382,135.997,4.0,0.49200000000000005,1.0,1.0,3.9871304779149512,1.0,0.87985,4.77912349311153,0.482836410556071,1.3862943611198906,5.0,0.0,1,0.0,0.0,0.392288556489172,0.04659765651615274,0.0,0.0,0.028772154025973218,0.0,0.0,0.16275487129235186,0.045917733790228406,0.12173602994784768,0.0,0.04451823728134224,0.12865185437894092,0.0,0.034369511254700905,0.0,0.0,0.0,0.0,0.0,0.20205995522538472,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
2210,0.0,0.0,0.0,0.0,0.0,0.327,0.653,12.349960845790923,0.774,0.0,5.0,0.223,0.0,0.132,159.961,4.0,0.9590000000000001,0.0,1.0,1.9169226121820595,1.0,0.95988,4.770684624465665,0.7325270443488079,0.6931471805599453,5.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0576413656979497,0.0,0.16782257055249886,0.12680063147111448,0.06899277204882814,0.0,0.0,0.1560766353408783,0.1656885165862964,0.0,0.0,0.16059121523526262,0.0,0.0,0.0,0.0,0.10120038077044688,0.09782827941742486,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
2211,0.0,0.0,0.0,0.0,0.0,0.0182,0.8170000000000001,12.223131315538108,0.6829999999999989,0.00365,8.0,0.0749,1.0,0.0376,116.014,4.0,0.972,0.0,1.0,2.5257286443082556,1.0,0.11757999999999902,4.51085950651685,0.6175081661910999,0.0,5.0,0.16866666666666597,1,0.0,0.053266667017976554,0.10394036518088687,0.0,0.0,0.0,0.0,0.0,0.0,0.10251284383589367,0.0,0.0,0.0,0.0,0.04465067413085966,0.0,0.0,0.0,0.02562092770561624,0.0,0.0,0.024506794015247132,0.10227018104812335,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
2212,0.0,0.0,0.0,0.0,0.0,0.609,0.495,11.733666131668128,0.267,0.852,0.0,0.114,1.0,0.033,81.018,4.0,0.136999999999999,1.0,1.0,2.7600099400329148,1.0,0.9047200000000001,4.3694478524670215,0.711402749881324,1.6094379124341003,5.0,0.0,1,0.06260424562422799,0.0,0.05807699494319709,0.0463759101964774,0.0,0.22310083629849814,0.028635234709823067,0.0,0.041685676936932654,0.08998909028918084,0.04569922304876472,0.06057835967115702,0.0,0.11076596596383183,0.09145688081085399,0.24023407212310507,0.06841191109652944,0.09573472977086725,0.06297446147134184,0.03856143117741057,0.0,0.06023599821332744,0.0754119013575425,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
2213,0.0,0.0,0.0,0.0,0.0,0.972,0.0932,13.12361858929617,0.0547,0.94,0.0,0.11900000000000001,0.0,0.0419,87.56,3.0,0.0369,0.0,1.0,3.7612001156935624,1.0,0.26527,3.7612001156935624,0.19245824465950798,1.0986122886681098,3.0,0.0,1,0.0,0.0,0.0,0.07155756973373076,0.0,0.0,0.0,0.0,0.0,0.11108181944223569,0.07051344817244552,0.0,0.0,0.0,0.16934047263398272,0.0,0.0,0.0,0.0971689698183427,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
2214,0.0,0.0,0.0,0.0,0.0,0.252,0.552,12.313374276005046,0.41,1.57e-06,2.0,0.155,1.0,0.0276,86.323,4.0,0.519,0.0,0.0,0.0,1.0,0.9801700000000001,4.330733340286331,0.713260734889407,1.0986122886681098,4.0,0.0689333333333333,1,0.0,0.0,0.0,0.0,0.08960326568707817,0.0,0.0,0.0,0.0,0.11441356498117397,0.08715408182942197,0.0,0.170245507308444,0.05633184646618896,0.11627973726595361,0.0,0.0,0.0,0.280233572291176,0.0,0.06557239872643174,0.03829250453382461,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
